Date,Time,Open,High,Low,Close,Volume
2015.08.06,23:45,1.55145,1.55151,1.55132,1.55135,254
2015.08.06,23:50,1.55135,1.55144,1.55129,1.55136,56
2015.08.06,23:55,1.55136,1.55141,1.55134,1.55141,102
2015.08.07,00:00,1.55139,1.55159,1.55128,1.55145,356
2015.08.07,00:05,1.55147,1.55152,1.55098,1.55107,297
2015.08.07,00:10,1.55107,1.55146,1.55105,1.55135,181
2015.08.07,00:15,1.55136,1.55140,1.55109,1.55122,178
2015.08.07,00:20,1.55122,1.55126,1.55120,1.55121,48
2015.08.07,00:25,1.55121,1.55121,1.55117,1.55121,24
2015.08.07,00:30,1.55121,1.55123,1.55114,1.55116,44
2015.08.07,00:35,1.55116,1.55124,1.55111,1.55116,75
2015.08.07,00:40,1.55116,1.55122,1.55115,1.55116,109
2015.08.07,00:45,1.55116,1.55124,1.55111,1.55117,88
2015.08.07,00:50,1.55117,1.55121,1.55087,1.55111,146
2015.08.07,00:55,1.55111,1.55118,1.55093,1.55093,86
2015.08.07,01:00,1.55095,1.55107,1.55086,1.55101,272
2015.08.07,01:05,1.55102,1.55151,1.55101,1.55112,162
2015.08.07,01:10,1.55111,1.55120,1.55111,1.55116,152
2015.08.07,01:15,1.55117,1.55130,1.55085,1.55129,187
2015.08.07,01:20,1.55129,1.55151,1.55128,1.55146,154
2015.08.07,01:25,1.55146,1.55153,1.55135,1.55135,140
2015.08.07,01:30,1.55133,1.55150,1.55126,1.55143,109
2015.08.07,01:35,1.55144,1.55155,1.55130,1.55131,175
2015.08.07,01:40,1.55130,1.55142,1.55130,1.55136,84
2015.08.07,01:45,1.55136,1.55136,1.55116,1.55121,139
2015.08.07,01:50,1.55123,1.55123,1.55111,1.55115,60
2015.08.07,01:55,1.55116,1.55126,1.55114,1.55117,151
2015.08.07,02:00,1.55116,1.55138,1.55076,1.55131,221
2015.08.07,02:05,1.55130,1.55131,1.55105,1.55125,69
2015.08.07,02:10,1.55126,1.55152,1.55120,1.55147,105
2015.08.07,02:15,1.55143,1.55148,1.55138,1.55143,45
2015.08.07,02:20,1.55143,1.55152,1.55142,1.55148,81
2015.08.07,02:25,1.55148,1.55151,1.55143,1.55146,78
2015.08.07,02:30,1.55146,1.55151,1.55141,1.55148,102
2015.08.07,02:35,1.55146,1.55146,1.55128,1.55131,74
2015.08.07,02:40,1.55130,1.55131,1.55119,1.55123,85
2015.08.07,02:45,1.55127,1.55148,1.55127,1.55146,116
2015.08.07,02:50,1.55146,1.55168,1.55145,1.55154,174
2015.08.07,02:55,1.55155,1.55171,1.55147,1.55161,233
2015.08.07,03:00,1.55160,1.55171,1.55154,1.55171,168
2015.08.07,03:05,1.55171,1.55174,1.55144,1.55148,149
2015.08.07,03:10,1.55148,1.55167,1.55137,1.55146,105
2015.08.07,03:15,1.55146,1.55148,1.55139,1.55146,105
2015.08.07,03:20,1.55146,1.55162,1.55145,1.55161,108
2015.08.07,03:25,1.55159,1.55170,1.55105,1.55121,216
2015.08.07,03:30,1.55116,1.55141,1.55084,1.55084,256
2015.08.07,03:35,1.55083,1.55100,1.55053,1.55061,322
2015.08.07,03:40,1.55060,1.55062,1.55015,1.55057,330
2015.08.07,03:45,1.55057,1.55078,1.55026,1.55041,383
2015.08.07,03:50,1.55041,1.55052,1.54969,1.55001,242
2015.08.07,03:55,1.54999,1.55007,1.54973,1.55000,173
2015.08.07,04:00,1.55000,1.55034,1.55000,1.55032,233
2015.08.07,04:05,1.55035,1.55037,1.55017,1.55026,161
2015.08.07,04:10,1.55027,1.55045,1.55026,1.55038,133
2015.08.07,04:15,1.55037,1.55051,1.55036,1.55051,162
2015.08.07,04:20,1.55051,1.55061,1.55046,1.55057,132
2015.08.07,04:25,1.55058,1.55060,1.55034,1.55047,166
2015.08.07,04:30,1.55045,1.55063,1.55043,1.55060,168
2015.08.07,04:35,1.55060,1.55086,1.55056,1.55071,367
2015.08.07,04:40,1.55071,1.55081,1.55066,1.55073,202
2015.08.07,04:45,1.55074,1.55104,1.55069,1.55098,237
2015.08.07,04:50,1.55098,1.55101,1.55094,1.55095,113
2015.08.07,04:55,1.55094,1.55105,1.55090,1.55096,186
2015.08.07,05:00,1.55095,1.55105,1.55087,1.55087,139
2015.08.07,05:05,1.55087,1.55092,1.55059,1.55079,230
2015.08.07,05:10,1.55077,1.55096,1.55068,1.55087,165
2015.08.07,05:15,1.55087,1.55095,1.55076,1.55089,108
2015.08.07,05:20,1.55089,1.55103,1.55076,1.55076,218
2015.08.07,05:25,1.55076,1.55108,1.55071,1.55078,285
2015.08.07,05:30,1.55076,1.55108,1.55073,1.55106,177
2015.08.07,05:35,1.55105,1.55116,1.55101,1.55105,179
2015.08.07,05:40,1.55106,1.55110,1.55094,1.55096,123
2015.08.07,05:45,1.55097,1.55136,1.55094,1.55116,152
2015.08.07,05:50,1.55115,1.55126,1.55103,1.55124,114
2015.08.07,05:55,1.55124,1.55125,1.55113,1.55125,90
2015.08.07,06:00,1.55125,1.55156,1.55125,1.55139,242
2015.08.07,06:05,1.55138,1.55178,1.55131,1.55156,155
2015.08.07,06:10,1.55156,1.55176,1.55134,1.55155,254
2015.08.07,06:15,1.55153,1.55154,1.55134,1.55136,104
2015.08.07,06:20,1.55136,1.55157,1.55130,1.55138,147
2015.08.07,06:25,1.55138,1.55158,1.55133,1.55143,205
2015.08.07,06:30,1.55145,1.55145,1.55132,1.55142,118
2015.08.07,06:35,1.55142,1.55154,1.55134,1.55138,120
2015.08.07,06:40,1.55136,1.55141,1.55121,1.55123,93
2015.08.07,06:45,1.55117,1.55123,1.55095,1.55096,102
2015.08.07,06:50,1.55097,1.55132,1.55097,1.55132,184
2015.08.07,06:55,1.55131,1.55132,1.55107,1.55129,215
2015.08.07,07:00,1.55129,1.55165,1.55126,1.55165,189
